date,RECPROUSM156N
1978-06-01,0.08
1978-07-01,0.32
1978-08-01,0.14
1978-09-01,0.04
1978-10-01,0.0
1978-11-01,0.04
1978-12-01,0.24
1979-01-01,2.7
1979-02-01,1.46
1979-03-01,2.0
1979-04-01,30.72
1979-05-01,2.1
1979-06-01,2.44
1979-07-01,3.86
1979-08-01,4.62
1979-09-01,3.76
1979-10-01,3.46
1979-11-01,5.0
1979-12-01,6.76
1980-01-01,10.4
1980-02-01,45.34
1980-03-01,88.54
1980-04-01,99.72
1980-05-01,99.54
1980-06-01,86.42
1980-07-01,29.06
1980-08-01,0.6
1980-09-01,0.02
1980-10-01,0.04
1980-11-01,0.12
1980-12-01,0.82
1981-01-01,3.8
1981-02-01,3.8
1981-03-01,2.66
1981-04-01,2.62
1981-05-01,2.18
1981-06-01,2.52
1981-07-01,5.32
1981-08-01,46.76
1981-09-01,81.14
1981-10-01,92.5
1981-11-01,94.92
1981-12-01,94.56
1982-01-01,91.52
1982-02-01,13.48
1982-03-01,55.4
1982-04-01,66.12
1982-05-01,69.38
1982-06-01,72.42
1982-07-01,72.38
1982-08-01,70.7
1982-09-01,66.9
1982-10-01,63.42
1982-11-01,33.38
1982-12-01,14.0
1983-01-01,0.86
1983-02-01,1.4
1983-03-01,0.06
1983-04-01,0.04
1983-05-01,0.02
1983-06-01,0.0
1983-07-01,0.0
1983-08-01,0.16
1983-09-01,0.0
1983-10-01,0.0
1983-11-01,0.0
1983-12-01,0.02
1984-01-01,0.0
1984-02-01,0.0
1984-03-01,0.08
1984-04-01,0.0
1984-05-01,0.0
1984-06-01,0.02
1984-07-01,0.04
1984-08-01,0.1
1984-09-01,0.1
1984-10-01,0.18
1984-11-01,0.08
1984-12-01,0.2
1985-01-01,0.18
1985-02-01,0.08
1985-03-01,0.08
1985-04-01,0.24
1985-05-01,0.24
1985-06-01,0.36
1985-07-01,0.38
1985-08-01,0.14
1985-09-01,0.12
1985-10-01,0.24
1985-11-01,0.1
1985-12-01,0.04
1986-01-01,0.12
1986-02-01,0.6
1986-03-01,0.58
1986-04-01,0.1
1986-05-01,0.22
1986-06-01,0.46
1986-07-01,0.04
1986-08-01,0.0
1986-09-01,0.0
1986-10-01,0.04
1986-11-01,0.06
1986-12-01,0.02
1987-01-01,0.78
1987-02-01,0.04
1987-03-01,0.06
1987-04-01,0.0
1987-05-01,0.04
1987-06-01,0.02
1987-07-01,0.02
1987-08-01,0.02
1987-09-01,0.02
1987-10-01,0.0
1987-11-01,0.06
1987-12-01,0.02
1988-01-01,0.4
1988-02-01,0.04
1988-03-01,0.02
1988-04-01,0.08
1988-05-01,0.12
1988-06-01,0.02
1988-07-01,0.1
1988-08-01,0.1
1988-09-01,0.12
1988-10-01,0.02
1988-11-01,0.04
1988-12-01,0.04
1989-01-01,0.22
1989-02-01,0.96
1989-03-01,0.98
1989-04-01,1.32
1989-05-01,1.84
1989-06-01,1.6
1989-07-01,1.74
1989-08-01,0.32
1989-09-01,0.34
1989-10-01,0.24
1989-11-01,0.14
1989-12-01,0.2
1990-01-01,0.28
1990-02-01,0.16
1990-03-01,0.44
1990-04-01,1.06
1990-05-01,1.5
1990-06-01,2.8
1990-07-01,8.46
1990-08-01,15.88
1990-09-01,34.38
1990-10-01,57.34
1990-11-01,62.18
1990-12-01,60.3
1991-01-01,57.22
1991-02-01,48.94
1991-03-01,30.48
1991-04-01,3.18
1991-05-01,0.44
1991-06-01,0.16
1991-07-01,0.2
1991-08-01,0.14
1991-09-01,0.16
1991-10-01,0.52
1991-11-01,0.7
1991-12-01,0.88
1992-01-01,0.38
1992-02-01,0.06
1992-03-01,0.0
1992-04-01,0.0
1992-05-01,0.06
1992-06-01,0.06
1992-07-01,0.02
1992-08-01,0.46
1992-09-01,0.24
1992-10-01,0.0
1992-11-01,0.02
1992-12-01,0.06
1993-01-01,0.04
1993-02-01,0.12
1993-03-01,0.68
1993-04-01,0.1
1993-05-01,0.1
1993-06-01,0.02
1993-07-01,0.04
1993-08-01,0.14
1993-09-01,0.04
1993-10-01,0.0
1993-11-01,0.0
1993-12-01,0.02
1994-01-01,0.06
1994-02-01,0.04
1994-03-01,0.0
1994-04-01,0.02
1994-05-01,0.04
1994-06-01,0.02
1994-07-01,0.04
1994-08-01,0.0
1994-09-01,0.0
1994-10-01,0.0
1994-11-01,0.0
1994-12-01,0.0
1995-01-01,0.08
1995-02-01,0.32
1995-03-01,0.3
1995-04-01,0.4
1995-05-01,0.14
1995-06-01,0.12
1995-07-01,0.38
1995-08-01,0.02
1995-09-01,0.12
1995-10-01,0.24
1995-11-01,0.18
1995-12-01,0.26
1996-01-01,0.56
1996-02-01,0.0
1996-03-01,0.06
1996-04-01,0.0
1996-05-01,0.0
1996-06-01,0.06
1996-07-01,0.12
1996-08-01,0.0
1996-09-01,0.0
1996-10-01,0.02
1996-11-01,0.0
1996-12-01,0.02
1997-01-01,0.04
1997-02-01,0.0
1997-03-01,0.02
1997-04-01,0.08
1997-05-01,0.06
1997-06-01,0.0
1997-07-01,0.0
1997-08-01,0.04
1997-09-01,0.0
1997-10-01,0.0
1997-11-01,0.02
1997-12-01,0.0
1998-01-01,0.0
1998-02-01,0.02
1998-03-01,0.08
1998-04-01,0.02
1998-05-01,0.04
1998-06-01,0.64
1998-07-01,0.5
1998-08-01,0.0
1998-09-01,0.02
1998-10-01,0.0
1998-11-01,0.04
1998-12-01,0.02
1999-01-01,0.02
1999-02-01,0.02
1999-03-01,0.08
1999-04-01,0.02
1999-05-01,0.02
1999-06-01,0.04
1999-07-01,0.02
1999-08-01,0.04
1999-09-01,0.24
1999-10-01,0.04
1999-11-01,0.0
1999-12-01,0.0
2000-01-01,0.08
2000-02-01,0.12
2000-03-01,0.02
2000-04-01,0.06
2000-05-01,0.32
2000-06-01,0.52
2000-07-01,0.84
2000-08-01,1.02
2000-09-01,1.42
2000-10-01,3.66
2000-11-01,5.62
2000-12-01,9.1
2001-01-01,15.92
2001-02-01,19.9
2001-03-01,24.08
2001-04-01,28.06
2001-05-01,27.54
2001-06-01,28.12
2001-07-01,27.02
2001-08-01,25.22
2001-09-01,25.12
2001-10-01,18.14
2001-11-01,13.96
2001-12-01,6.24
2002-01-01,2.62
2002-02-01,1.64
2002-03-01,0.58
2002-04-01,0.34
2002-05-01,0.3
2002-06-01,0.22
2002-07-01,0.68
2002-08-01,0.66
2002-09-01,0.52
2002-10-01,0.44
2002-11-01,0.28
2002-12-01,1.14
2003-01-01,0.5
2003-02-01,0.58
2003-03-01,0.56
2003-04-01,0.48
2003-05-01,0.22
2003-06-01,0.22
2003-07-01,0.18
2003-08-01,0.22
2003-09-01,0.08
2003-10-01,0.08
2003-11-01,0.06
2003-12-01,0.22
2004-01-01,0.14
2004-02-01,0.04
2004-03-01,0.06
2004-04-01,0.04
2004-05-01,0.08
2004-06-01,0.8
2004-07-01,0.24
2004-08-01,0.08
2004-09-01,0.06
2004-10-01,0.02
2004-11-01,0.06
2004-12-01,0.0
2005-01-01,0.02
2005-02-01,0.04
2005-03-01,0.14
2005-04-01,0.08
2005-05-01,0.18
2005-06-01,0.1
2005-07-01,0.92
2005-08-01,2.72
2005-09-01,11.74
2005-10-01,0.1
2005-11-01,0.0
2005-12-01,0.02
2006-01-01,0.08
2006-02-01,0.04
2006-03-01,0.08
2006-04-01,0.34
2006-05-01,0.28
2006-06-01,0.2
2006-07-01,0.34
2006-08-01,0.16
2006-09-01,0.14
2006-10-01,0.14
2006-11-01,0.0
2006-12-01,0.02
2007-01-01,0.32
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.06
2007-05-01,0.26
2007-06-01,0.38
2007-07-01,0.6
2007-08-01,0.46
2007-09-01,0.64
2007-10-01,1.5
2007-11-01,2.38
2007-12-01,8.5
2008-01-01,21.82
2008-02-01,45.28
2008-03-01,61.9
2008-04-01,74.82
2008-05-01,82.42
2008-06-01,87.64
2008-07-01,95.3
2008-08-01,99.74
2008-09-01,99.98
2008-10-01,90.0
2008-11-01,99.86
2008-12-01,100.0
2009-01-01,100.0
2009-02-01,99.84
2009-03-01,99.86
2009-04-01,96.82
2009-05-01,87.72
2009-06-01,61.88
2009-07-01,2.76
2009-08-01,0.72
2009-09-01,0.34
2009-10-01,0.26
2009-11-01,0.12
2009-12-01,0.08
2010-01-01,0.04
2010-02-01,0.06
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,0.32
2010-07-01,0.1
2010-08-01,0.12
2010-09-01,0.08
2010-10-01,0.02
2010-11-01,0.02
2010-12-01,0.0
2011-01-01,0.02
2011-02-01,0.22
2011-03-01,0.02
2011-04-01,0.16
2011-05-01,0.2
2011-06-01,0.04
2011-07-01,0.0
2011-08-01,0.04
2011-09-01,0.08
2011-10-01,0.02
2011-11-01,0.18
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,0.04
2012-03-01,0.26
2012-04-01,0.1
2012-05-01,0.08
2012-06-01,0.18
2012-07-01,0.18
2012-08-01,0.26
2012-09-01,0.02
2012-10-01,0.04
2012-11-01,0.02
2012-12-01,0.06
2013-01-01,0.2
2013-02-01,0.06
2013-03-01,0.08
2013-04-01,0.1
2013-05-01,0.06
2013-06-01,0.2
2013-07-01,0.26
2013-08-01,0.12
2013-09-01,0.08
2013-10-01,0.16
2013-11-01,0.04
2013-12-01,0.1
2014-01-01,0.22
2014-02-01,0.02
2014-03-01,0.0
2014-04-01,0.04
2014-05-01,0.04
2014-06-01,0.06
2014-07-01,0.04
2014-08-01,0.14
2014-09-01,0.1
2014-10-01,0.1
2014-11-01,0.06
2014-12-01,0.32
2015-01-01,1.38
2015-02-01,2.04
2015-03-01,2.02
2015-04-01,1.4
2015-05-01,1.42
2015-06-01,1.12
2015-07-01,0.68
2015-08-01,0.86
2015-09-01,0.9
2015-10-01,1.26
2015-11-01,1.44
2015-12-01,1.18
2016-01-01,0.78
2016-02-01,1.04
2016-03-01,0.98
2016-04-01,0.66
2016-05-01,0.58
2016-06-01,0.14
2016-07-01,0.12
2016-08-01,0.2
2016-09-01,0.18
2016-10-01,0.32
2016-11-01,0.22
2016-12-01,0.02
2017-01-01,0.06
2017-02-01,0.1
2017-03-01,0.12
2017-04-01,0.06
2017-05-01,0.06
2017-06-01,0.14
2017-07-01,0.08
2017-08-01,0.16
2017-09-01,0.04
2017-10-01,0.02
2017-11-01,0.04
2017-12-01,0.14
2018-01-01,0.34
2018-02-01,0.16
2018-03-01,0.08
2018-04-01,0.06
2018-05-01,0.36
2018-06-01,0.04
2018-07-01,0.12
2018-08-01,0.12
2018-09-01,0.26
2018-10-01,0.28
2018-11-01,0.28
2018-12-01,0.36
2019-01-01,1.74
2019-02-01,1.82
2019-03-01,1.32
2019-04-01,1.44
2019-05-01,0.88
2019-06-01,0.84
2019-07-01,0.8
2019-08-01,0.58
2019-09-01,1.64
2019-10-01,2.08
2019-11-01,0.64
2019-12-01,0.88
2020-01-01,0.5
2020-02-01,0.22
2020-03-01,100.0
2020-04-01,100.0
2020-05-01,0.06
2020-06-01,0.08
2020-07-01,0.04
2020-08-01,0.0
2020-09-01,0.0
2020-10-01,0.0
2020-11-01,0.16
2020-12-01,0.02
2021-01-01,0.02
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,0.26
2021-05-01,0.14
2021-06-01,0.06
2021-07-01,0.16
2021-08-01,1.32
2021-09-01,1.38
2021-10-01,0.06
2021-11-01,0.1
2021-12-01,0.84
2022-01-01,0.78
2022-02-01,0.22
2022-03-01,0.3
2022-04-01,0.66
2022-05-01,1.04
2022-06-01,0.8
2022-07-01,0.18
2022-08-01,0.32
2022-09-01,0.38
2022-10-01,0.6
2022-11-01,1.1
2022-12-01,0.98
2023-01-01,0.16
2023-02-01,0.18
2023-03-01,0.26
2023-04-01,0.24
2023-05-01,0.28
2023-06-01,0.5
2023-07-01,0.16
2023-08-01,0.16
2023-09-01,0.06
2023-10-01,0.2
2023-11-01,0.2
2023-12-01,0.82
2024-01-01,2.32
2024-02-01,0.26
2024-03-01,0.26
2024-04-01,0.34
2024-05-01,0.1
2024-06-01,0.36
2024-07-01,0.58
2024-08-01,0.26
2024-09-01,0.48
2024-10-01,0.36
2024-11-01,0.18
2024-12-01,0.08
2025-01-01,0.36
2025-02-01,0.1
2025-03-01,0.08
2025-04-01,0.26
2025-05-01,0.58
2025-06-01,0.26
2025-07-01,0.18
2025-08-01,0.62
2025-09-01,0.68
2025-10-01,0.74
2025-11-01,0.34
2025-12-01,0.16
2026-01-01,0.24
2026-02-01,0.46
2026-03-01,1.82
